start,end,text
184170,187490,"Про морщинистого, которого спящим тащили с собой, даже"
187490,189890,"думать не хотелось, хотя бы потому, что он"
189890,191510,самый опасный груз нашей семьи.
192070,195130,"Попробуй-ка объясни всем непосвященным, что за груз"
195130,197130,"в том коробе, да к тому же, его"
197130,199930,"донесение и молчание было, вероятно, самым важным."
200370,203050,"Уж слишком высоко находились те, кому он служил,"
203170,203930,предав орден.
204330,206910,Но заставить его передать сообщение с нужными нам
206910,208410,словами не удастся.
208850,210990,"Так что с каждым днём тот, кто ждёт"
210990,213210,"от него донесения всё сильнее и сильнее, теряет"
213210,213710,терпение.
214530,217090,"Я не очень верил, что это Рамвелор, как"
217090,218930,"не верил в то, что Император лично все"
218930,221870,"эти десятилетия следил за тем, чтобы как можно"
221870,225050,"больше гадостей и испытаний подсыпать ордену, который его"
225050,225470,подвёл.
226070,229130,"Хотя, конечно, моя уверенность смешна, ведь в своём"
229130,232650,"мнении я полагался на сказки, которые мама читала"
232650,234010,мне в детстве в нулевом.
234530,237230,"И всё же, и всё же..."
237230,239750,"Я отлично помнил ту историю о мести соседям,"
240170,241990,про которую мы так долго когда-то говорили
241990,244750,"с мамой в безвестной деревушке нулевого, когда она"
244750,247870,пыталась заставить меня отказаться от мести Вирглу и
247870,249970,переврала несколько моментов из той истории.
250650,252870,"Но я помнил тогда, и верю сейчас, что"
252870,256550,"Рамвелор мог разорить соседей, убить главных виновников и"
256550,259709,"прочее, но гадить так мелко, посылать кого-то"
259709,263050,"охотиться на орденцев, едва они вылазили из шестого"
263050,265310,пояса и земель Кунг — бред же.
265810,267550,Не Виргл же в самом деле Рамвелор.
268190,270710,"Как по мне, виновники всех этих убийств —"
270710,273270,"куча шакалов, которые все эти годы вымещали свои"
273270,276510,"личные мелкие обиды на ослабевшем ордене, и Рзум"
276510,279270,"и прочие, кого орден задел, когда был силён,"
279370,281370,велик и шёл вперёд ни на кого не
281370,282010,оглядываясь.
282470,286310,"Ну и, конечно же, Велор, клан Императора, наделённые"
286310,289370,"властью и возможностями люди, у которых не могло"
289370,291930,"не быть своих целей, своих желаний и своих"
291930,292290,обид.
293010,295670,Кого проще всего заподозрить в предательстве Райлера?
296370,298890,"Его братьев и сестёр, тех, кто тоже на"
298890,301870,"самом деле Велорцы, и кому мог служить Морщинистый."
302570,305830,"Затем матерей всех этих детей, которые вполне могли"
305830,308530,"завидовать тому, что не их сын — любимец"
308530,309210,Рамвелора.
309890,313590,"После, на подозрение все их слуги, подчинённые, многочисленные"
313590,317490,"дяди, тёти, дедушки и прочие родственники, старейшины, которых"
317490,320630,"в огромном клане Императора было великое множество, и"
320630,322890,которых было ещё больше в кланах и семьях
322890,325170,родных его жён и детей — все они
325170,327650,могли преследовать свои цели в уничтожении ордена.
328430,330390,"А может быть, всё было гораздо проще, чем"
330390,333350,"казалось моим новым старейшинам, и чем казалось мне."
334010,336830,"Пни упавшего — старая забава, которую я когда"
336830,338210,-то испытал на своей шкуре.
338750,341150,"Те, кто заглядывал мне в рот, слушая рассказы"
341150,344490,"о путешествии по нулевому, позже пинали меня, обливали"
344490,347830,"помоями и опрокидывали вёдра с водой, мешая выполнить"
347830,348790,норму по поливу.
349310,350590,Зачем они это делали?
351170,353930,"Потому что могли, потому что привыкли так доказывать"
353930,357350,"свою силу, потому как уверились, я не отвечу,"
357710,359570,"а им за это ничего не будет, с"
359570,362490,"попустительства взрослых, которые боялись главу деревни."
363410,366230,"Ратли был сам карду моим страданиям, да ему"
366230,367310,плевать было на них.
367830,371530,"Так, раздражался на никчёмного сынка, который занимался глупостями,"
371630,374050,"шпыняя меня вместо нужных дел, но не более."
374770,377550,"Останавливать его забавы он не собирался, пока я"
377550,380030,"едва не свернул шею, а мама лишь чуть"
380030,383350,"менее сильная, чем карду, а потому опасная, не"
383350,385210,"показала зубы, требуя справедливости."
386030,388450,У Ордена давно уже не было силы сильнейшей
388450,391810,"фракции Империи, остались лишь крохи тех великих сил,"
392230,396770,"тщательно сберегаемые секреты формации, составные техники, методики закалки"
396770,400310,"и тренировки, делавшие из Орденцев очень опасных бойцов."
400310,402970,Но как бы ни были опасны бойцы этапов
402970,405530,"Предводителя и Властелина, как бы ни были сильны"
405530,408470,"формации, которые они одержали на готове, всё это"
408470,410630,ничто перед ударами Повелителей Стихии.
411590,414050,"Но миновали дни пути, и десятки ли по"
414050,416270,"полю битвы, а мы живы и целы."
416750,418170,"Значит, у нас всё получится."
418850,422570,"Мы достоверно разыграли очередной раскол, Озман нашёл правильные"
422570,425810,"слова для Эрзум, Императору плевать, что там происходит"
425810,428630,"с распущенным Орденом, как и стражам Кунг и"
428630,431130,"прочим, кому уже донесли про события в городе"
431130,431710,Пятиветров.
432150,434690,"Во всяком случае, быстро собраться и ударить они"
434690,437810,"не смогли, не захотели или не решились, а"
437810,438770,дальше всё будет проще.
439550,441950,"Я, наконец, прошёл весь лагерь насквозь и добрался"
441950,442990,до Седова и прочих.
443470,446330,Он вместо приветствия кивнул мне и присёл прямо
446330,449230,"на песок, в котором просто и незамысловато принялся"
449230,451690,чертить палочкой извивок каменного лабиринта.
452330,455210,"Да, зелень, земля и пусть редкие, но лесочки"
455210,456510,снова сменились песками.
456510,460510,"Я, уже опытный, выслушавший несколько десятков уроков от"
460510,463770,"лучших знатоков Ордена, прекрасно знал, что это первейший"
463770,467230,"признак приближения к зонам запретов, которые дотянулись даже"
467230,470210,"до ветров и дождей, превратив свои окрестности в"
470210,471310,безжизненные пустыни.
472010,474330,"Внутри всё может быть по-другому, но на"
474330,476930,подходах в семи случаях из десяти будут пески
476930,478250,от горизонта до горизонта.
478870,481410,В нашем случае от нашего лагеря до расщелин
481410,484730,"в невысоком каменистом плато и дальше, до покрытых"
484730,487890,"дымкой гор, которые изрядно приблизили к кромку горизонта,"
487970,490190,"закрывая от взгляда то, что лежало за ними."
491290,493450,«Разведчики прошли на три дня пути.
493930,496810,"Вот здесь, — Палочка Седуба указала на кружок"
496810,499790,"чуть в глубине лабиринта, — похоже, долгие годы"
499790,501490,становились лагерем Люди Мурлан.
502070,506270,"Неблохое место, с водой, укрытиями в виде сохранившейся"
506270,508110,"поместья, зелени и прочего."
508810,510710,"Смирив меня взглядом, Седой припечатал."
511110,512590,Но нам оно не подходит.
512590,514370,Рагедон пояснил.
514730,519330,"«Слишком легкодоступно, слишком открыто, слишком трудно защищать и"
519330,519789,прочее.
520350,521909,Поэтому мы пойдем сюда.
522470,526090,"Седой прочертил в песке извилистую линию, постепенно уводя"
526090,527210,ее куда-то на восток.
527830,529170,Вглубь зон запретов.
529710,532170,Поместим их между собой и возможными гостями.
532810,535350,"Сейчас покажу, как это выглядело раньше и на"
535350,535870,самом деле.
536770,538970,Седой отбросил палочку и развел руки над своими
538970,539570,каракулями.
539570,543130,"Через вдох из песка начали подниматься голубые холмы,"
543550,544510,"реки, поместья."
545010,547270,"Крошечные, но вполне угадываемые."
547850,551050,Седой сейчас накладывал сверху своего рисунка карту древних.
551990,554870,"Извилистый путь, которым мы должны были пройти, ввел"
554870,557730,"нас через плоскогорье, где не было и следа"
557730,560650,плато и извилистых ходов расщелен в нем к
560650,563990,"большому квадратному поместью, что занимало в прошлом огромное"
563990,567150,пространство и было окружено десятками более мелких.
567150,570630,"Что там сейчас неизвестно, потому как в записях"
570630,573710,"Озмана не нашлось сведений об этом рукаве лабиринта,"
574190,576790,словно Морлан никогда и не пытались продвинуться теми
576790,577290,проходами.
578270,580510,"Удерживая карту, Седой поднял на меня взгляд."
580930,584130,"«Уже сейчас ясно, что глупцы Морлан должны были"
584130,587250,"всей силой кинуть на штурм каменного лабиринта, а"
587250,589310,не пытаться сорвать куш на диких землях».
589950,591950,Я не понял и потребовал объяснения.
592470,598350,"«Почему?» Я взял палочку, которую тот отбросил,"
598670,601370,и провел сквозь иллюзорную карту еще одну черту.
602510,603110,«Север».
603110,605670,Вытянул палочку по направлению к одной из гор
605670,605970,вдали.
606590,608010,«И вот север».
608510,610610,"Склонившись, воткнул палочку в песок прямо в гору"
610610,612810,к карте древних и чуть в стороне от
612810,613510,линии севера.
614230,615270,«И вот эта гора.
615930,617850,"Мы видим ее не там, где она должна"
617850,618410,находиться.
618990,620610,Это может означать только одно.
621190,625610,"Основная формация иллюзии каменного лабиринта настолько огромна, что"
625610,627890,"искажает десятки, если не сотни ли»."
628510,629210,Седой кивнул.
629550,632350,«Это точно будет один из важнейших ключей всего
632350,633070,поля битвы.
633730,636350,На одних этих землях можно будет получить столько
636350,639150,"ресурсов, что хватит и шестизвездной фракции»."
639910,640770,Я усомнился.
641270,644930,«И небесные испытания для повелителя стихии?» Седой
644930,645470,не смутился.
646030,647410,"«Разумеется, кроме этого."
647970,650910,"Если угодно, то здесь ресурсов и вещей древних"
650910,653190,на три пятизвездочные фракции хватит.
653190,656770,И этого никто не обнаружил раньше?» Ответил
656770,657470,мне Рагидон.
658090,661730,«Отклонение истинного положения гор и иллюзорного крошечное.
662170,664430,"Сейчас на карте я сделал его таким большим,"
664530,666410,"чтобы вам было нагляднее видно, глава»."
667230,667970,Седой добавил.
668410,670350,"«К тому же ни у кого, кроме нас,"
670510,673170,"Орденцев, нет такого богатого опыта."
673670,676190,"И этот же опыт говорит мне, что нужно"
676190,678910,"двигаться к ключу лабиринта совсем не тем путем,"
679210,681010,которым пытались это сделать Мурлан.
681010,685470,"Они даже не понимали истинного размера лабиринта, пытаясь"
685470,687130,пройти его кратчайшим путем.
687610,689150,Кратчайший на поле битвы?
690130,690870,Смешно».
690870,693470,"Я задумался, пока Седой не потребовал ответа."
693770,696910,"«Молодой глава, что по лагерю?» Я коротко"
696910,699650,"ответил, прекрасно осознавая, что это не более чем"
699650,700250,формальность.
700530,701370,«Не возражаю».
702190,703870,Теперь вопрос задал Рагидон.
704290,707550,"«Глава, вы все еще настаиваете, что будете в"
707550,710250,первых рядах?» «Разумеется».
710250,711270,Они переглянулись.
711770,713090,Седой погасил карту и встал.
713710,716850,"«Тогда пошли к Келлеру, заберем твою броню»."
717550,718310,Я лишь кивнул.
718890,721370,Проще всего оказалось мечом старшего тезиора.
722030,723010,Его я получил давно.
723610,726110,"Маску тоже, хотя в ней теперь было всего"
726110,726850,два облика.
727310,730030,Большего артефактур моей семьи в ранге Властелина Духа
730030,730830,сделать не сумел.
731310,734230,"Этим, наконец, уверив меня, что Фатия действительно талант,"
734610,736150,и укрепив в будущих планах.
736150,738670,А вот доспех Ян лишь изо дня в
738670,741430,"день обещал вот-вот отдать, каждый раз выводя"
741430,742190,Седого из себя.
742790,745150,"Он очень переживал, что молодой глава без защиты,"
745530,747090,"в то время, когда каждый день с неба"
747090,748610,может обрушиться удар врагов.
749290,752690,"Отыскав заметно помолодевшего за эти дни Келлера, Седой"
752690,754330,навис над ним и мрачно сообщил.
754890,756410,«Больше отговорок не приму.
756770,757710,Твое время истекло».
758550,759510,Келлер вздохнул.
760070,762590,"«Ладно, ладно», — поклонился мне."
763090,764510,"«Молодой глава, приветствую»."
764510,768270,«Что я могу сказать?» «Это добротный доспех
768270,768990,старой работы.
769570,772310,"Не древних, но первых лет основания Империи»."
772950,773970,Я заинтересовался.
774370,777370,"«А что, есть доспехи древних для Зон Запретов"
777370,781190,"?» «Есть», — буркнул Седой, заставив меня удивиться."
781830,784030,«Я о таких и правда слышал первый раз».
784590,786470,«Очень забавная деталь на самом деле.
786970,789350,"Хотя, может быть, я слишком подозрителен со всеми"
789350,792590,этими разговорами последних дней и ожиданиями нападения.
793250,795890,"Может быть, создав Зон Запретов как защиту от"
795890,799210,"сектантов, древние дополнили ее и броней для тех,"
799610,801210,кто должен был в этих зонах биться с
801210,801690,сектантами».
802490,805010,"Не дождавшись от меня новых вопросов, Седой отвернулся"
805010,806130,к Келлеру и спросил.
806410,808410,«Что ты скажешь про ее качество?
808850,812210,"У нас есть лучше?» «Есть», — кивнул"
812210,814310,"тот, но тут же с улыбкой добавил."
814770,816010,«Но не намного лучше.
816710,819510,"Чуть крепче сталь, чуть больше энергии берет из"
819510,822030,"средоточий, чуть поновее, не более."
822650,825230,Не так уж много материалов подходит под броню
825230,826710,для Зон Запретов».
826710,827690,Седой нахмурился.
828110,832170,"«Выходит, это действительно она?» «Да», — кивнул"
832170,832610,Келлер.
833050,835450,«Это действительно броня для властелинов.
835910,839570,"Она просто износилась за минувшие столетия, потеряла часть"
839570,840190,свойств.
840710,842850,"И в ней нужно было кое-что поправить,"
843210,846790,"причем не косорукому артефактору, а тому, кто разбирается"
846790,849670,"в давно забытых, старых методах артефакторики."
849670,851550,Я сбросил привязку.
851950,853630,"Попробуйте еще раз, молодой глава»."
854450,857610,"Я принял броню, которая даже выглядеть стала поновей."
858150,861130,"«Почистили ее, что ли?» Расстегнув первый ремень,"
861190,864070,"вдруг вспомнил, как опасался надевать ее первый раз."
864570,865710,"Боялся, что это ловушка."
866390,869210,От этих воспоминаний даже замешкался со второй застежкой
869210,871470,и искоса глянул на Седого и Келлера.
872310,874630,"Второй ничего не понял, а вот Седой тут"
874630,875830,же прищурился и спросил.
875830,878850,"«Что, молодой глава?» Я отмахнулся."
879190,879610,«Ничего.
880370,883030,"Если я действительно буду подозревать, что Седой и"
883030,886330,"Келлер разговаривались надеть на меня артефакт, который лишит"
886330,889010,"меня умений и возможностей, то к чему тогда"
889010,889910,все мои старания?
890410,892750,"Мне что, дописать в указы Седого и Келлера"
892750,894730,"условий, чтобы обезопасить себя?"
895330,896230,"Ну да, ну да."
896770,899450,"А потом дописать этих условий вообще всем, да"
899450,900510,"побольше, побольше."
901230,903730,За мной либо будут идти добровольно и по
903730,906530,"своему желанию, либо все это нужно бросить прямо"
906530,908990,"сейчас, потому что ни к чему хорошему это"
908990,910330,не приведет».
910330,912450,"Передал броню Седому, стянул халат."
913010,916250,"Келлер явно заинтересовался моими наручами, но не сказал"
916250,916690,ни слова.
917330,918910,Я тоже не собирался говорить про них.
919670,923150,"Нет, Келлер, конечно, лучший артефактор сломанного клинка, но"
923150,925810,"и клотир не просто прохожий с улицы, тем"
925810,928250,"более, что наручи и не артефакт в общепринятом"
928250,931890,"смысле, лишь броня из странного материала невероятной прочности."
932750,935330,"С помощью Седого неспешно накинул броню на плечи,"
935810,937330,он же затянул ремень на боку.
937930,940770,Палец резанул уже сам и коснулся им центра
940770,941050,брони.
941750,944490,"Она тут же проснулась, второй раз начала привязку"
944490,947110,"ко мне, плотно обхватила мое тело в одних"
947110,950270,"местах, расширилась в других, чтобы я чувствовал себя"
950270,952870,"в ней удобно, а затем потянула из меня"
952870,953330,силу.
954070,955490,Но в этот раз я не следил за
955490,958490,"тем, как она прорастает дымкой в средоточиях, а"
958490,959310,глядел на грудь.
959910,963150,"Кровавый отпечаток пальца впитался в сталь, а навстречу"
963150,964510,ему протаял огонек.
965070,968950,"Он быстро разросся, стал ярче и загнулся, превращаясь"
968950,970230,почти в две трети круга.
970790,972630,"Все верно, шесть звезд."
973230,976430,"Спасибо Зеленорукому, с которым обязательно нужно поговорить."
977190,979990,"Я не готов отказываться от подобной возможности, но"
979990,980710,это все потом.
981430,982710,Сейчас самое важное.
983550,987190,"Внутри первого, незавершенного круга загорается еще один огонек,"
987610,990190,"также изгибается, начиная вырисовывать второй круг."
990830,993130,Вот он уже нарисовал треть круга и пополз
993130,993490,дальше.
994050,996870,"Половина круга, а затем огонек замирает, не догнав"
996870,998130,"первый, внешний круг."
998130,1002150,"«Как интересно, молодой глава!» — чурись, произнес"
1002150,1002610,Келлер.
1003150,1005730,Ни с одним предводителем она не давала подобного
1005730,1006330,результата.
1006870,1009250,«Потому что никто не сравнится в таланте с
1009250,1011150,"молодым главой», — отрезал Седой."
1011470,1015070,«Он одновременно проводит два этапа возвышения».
1015070,1018690,"«Проводить он может сколько угодно этапов, но броне"
1018690,1020210,нужно третье средоточие.
1020790,1023670,"Оно у вас есть, молодой глава?» Я,"
1023849,1026630,"который все это время морщился, но морщился о"
1026630,1029829,"своем, о своих мыслях, и будущем, и возвышении,"
1030349,1031329,криво усмехнулся.
1032250,1032950,«Нет».
1032950,1035010,Келлер потер переносицу и попросил.
1035430,1039030,"«Молодой глава, давайте я сброшу привязку»."
1039030,1040970,"Это ничего не изменило ни в этот раз,"
1041369,1042290,ни в три следующих.
1042770,1046290,"Броня снова оценивала мое возвышение, снова выдавала мне"
1046290,1049230,что-то близкое к пятизвездам Властелина и снова
1049230,1052550,"не могла найти третье средоточие, чтобы получить доступ"
1052550,1053950,к запасам его эссенции.
1055270,1057570,«Так...» Хмурый Келлер махнул рукой.
1057750,1058510,«Снимайте.
1059090,1061470,Нужно попробовать другой доспех».
1061470,1065030,А вот другой доспех Властелина меня считать отказался.
1065730,1067330,Седой вперил взгляд в Келлера.
1067710,1071110,«И что это значит?» «Что суть проблемы
1071110,1074370,"в той части, которая оценивает возвышение»."
1074370,1077770,«А что ты намекаешь?» Келлер поднял ладони.
1077770,1081270,"«Аранви, ты злишься, даже не дослушав."
1081730,1085250,"Видимо, в этой старой броне она чувствительней и"
1085250,1089730,"оценивает сразу качество эссенции, пропускную способность меридианов на"
1089730,1091010,вратах сил и прочее.
1091610,1094930,"Думаю, что у нашего молодого главы огромное будущее,"
1095590,1096630,как у всех нас».
1097230,1098710,«То-то же».
1098710,1101910,"Самодовольно, словно это его только что хвалил Келлер,"
1102290,1103050,фыркнул Седой.
1103050,1105610,"Я лично не считал, что дело в оценке"
1105610,1108730,"качества эссенции и прочем, что назвал Келлер, хотя"
1108730,1111490,"бы по простой причине, что врата силы —"
1111490,1114450,"это дополнительная мощь, которую Властелину Духа вливают в"
1114450,1116250,технике с помощью эссенции Духа.
1116830,1118430,"Из того, что я видел в теле Седого"
1118430,1122150,"и Зеленорукова во время изучения этого момента, это"
1122150,1126110,"больше походило на создание второго дополнительного меридиана, который"
1126110,1128230,шел рядом с нужным от самых истоков до
1128230,1129110,конца созвездия.
1129810,1132730,"Или, если взглянуть на происходящее немного по-другому,"
1133170,1136810,"на очень и очень толстую оплетку, которая возникала"
1136810,1137650,вокруг меридиана.
1138370,1140730,"Я уже не только задумывался над этим, но"
1140730,1143510,"и даже пытался как утолщать свои оплетки, так"
1143510,1144950,и провести по ним больше силы.
1145310,1148130,"И не просто провести, а провести от средоточия"
1148130,1148990,до нужного места.
1149690,1152270,Ну или зачерпывать нужное количество силы сразу из
1152270,1154710,тела по всей длине оплетенного меридиана.
1155350,1157870,Но даже без всего этого оплетка меридианов у
1157870,1160410,"меня была, и броня могла считать их раньше"
1160410,1162290,за врата силы слабого властелина.
1162770,1163330,Сейчас же.
1164110,1165970,"Я вот точно мог сказать, что сейчас моя"
1165970,1168370,"оплетка лучше, чем во времена событий в городе"
1168370,1168610,Ян.
1169130,1171010,Потому-то броня и добавила мне звезд.
1171450,1173410,Но к вратам силы это пока не имело
1173410,1174470,никакого отношения.
1174950,1175670,Это другое.
1176070,1177170,"Во всяком случае, сейчас."
1178030,1180310,Сказать это означало бы расстроить Седова.
1181490,1182090,Хотя...
1182090,1185310,"Я смелил его взглядом, заставив скинуть брови в"
1185310,1186070,немом вопросе.
1186690,1188890,"С его уверенностью во мне могло так выйти,"
1189010,1190790,что он бы просто не принял всерьез мои
1190790,1193510,"слова, или придумал им другое объяснение."
1194270,1195230,Я и сам так могу.
1195790,1198710,Могу отбросить рассуждение об оплетке и перейти к
1198710,1200810,толщине самих изначальных меридианов.
1201590,1204630,"Сейчас я могу твердо и уверенно, после осмотра"
1204630,1207570,"стольких-то властелинов, сказать, что ни у одного"
1207570,1209510,из них нет меридианов моей толщины.
1210270,1212430,Я набрал не так много звезд с того
1212430,1215990,"момента, как начал лечить Зеленорукова, но внутри изменился"
1215990,1216890,гораздо сильнее.
1217570,1220550,"Мои змеи успешно справлялись с расширением что духовных,"
1220830,1222050,что стихийных меридианов.
1222650,1225390,"Я же успешно справлялся с последствиями этих расширений,"
1225770,1227970,залечивая рубцы и растяжение меридианов.
1228690,1231610,"Сначала суета дни в городе Пятиветров, когда на"
1231610,1233910,меня свалились все эти обязанности главы семьи.
1234590,1237430,"Я надеялся, что станет легче после появления Седого"
1237430,1240390,"и Старейшин, ха-ха-ха, как бы не"
1240390,1240610,так.
1241390,1243670,"Не прошло и трех дней, как ко мне"
1243670,1246690,"повалили буквально толпы, жаждущих поглядеть, кто это такой"
1246690,1250550,"Ирал, глава Сломанного Клинка, к которому бывшие орденцы"
1250550,1251710,заявили всей толпой.
1252410,1255130,"Что это за гордый и безумный наглец, который"
1255130,1257850,"выпнул прочь три четверти пришедших к нему орденцев,"
1258290,1260810,зато оставил всякий сброд и детей-сирот с
1260810,1261090,улиц?
1261090,1266950,"Просто глазели, набивались навстречу, мучали вопросами, наглели, завуалированно"
1266950,1269330,оскорбляли и нащупывали границу дозволенного.
1269770,1271450,"И прочее, и прочее, и прочее."
1272230,1274510,"Радует, что, видя рядом со мной хмурого Седого"
1274510,1277390,"и Пересмешника, в большей части из таких гостей"
1277390,1279930,все же просыпалось здравомыслие и желание жить.
1280390,1282730,"Радует, что эти мои мучения хотя бы не"
1282730,1283430,прошли даром.
1283870,1286170,За четыре дня я заполучил еще почти десяток
1286170,1289470,"сильных одиночек и еще два неплохих отряда, чьи"
1289470,1292370,главы не так давно попробовали заполучить двойную оплату.
1292850,1295670,"Надеюсь, эти дополнительные силы тоже добавят шанса в"
1295670,1299490,"семье Сломанного Клинка пережить внимание имперских чиновников, велорцев"
1299490,1300110,и прочих.
1300850,1303510,Пока что никто из этих самых сильнейших фракций
1303510,1306570,"Империи не решился закончить это самым простым путем,"
1306970,1309470,просто и незатейливо стереть с лица земли остатки
1309470,1309890,ордена.
1310650,1312970,"Иногда закрадывалась мысль, что я не прав в"
1312970,1316090,"своих рассуждениях про шакалов, и это их прям"
1316090,1317050,приказ Императора.
1317710,1320770,Орден должен и страдать как можно дольше.
1321450,1324950,"Поэтому и убивают одиночек, которых получается поймать, а"
1324950,1326750,основную часть ордена не трогают.
1327530,1328930,Мне эта мысль неприятна.
1329450,1332090,"Она означает, что тот герой детских сказок на"
1332090,1335550,"самом деле злопамятный и жестокий человек, небесный воин,"
1335630,1338270,который уподобился кому-то из моих детских мучителей.
1338990,1341310,"Но тут нужно еще подумать, а сам-то"
1341310,1341750,я лучше?
1342550,1345150,"Тот же Озман, пусть и обставил это красивыми"
1345150,1348130,"словами, на самом деле описал меня как мстительного"
1348130,1351230,"и злопамятного человека, который в одном случае встанет"
1351230,1354470,"на колени, чтобы выжить перед лицом непобедимого врага,"
1354870,1357290,"в другом случае же убьет, едва получит такую"
1357290,1357890,возможность.
1358610,1361390,"По описанию, не самый приятный Дарсов-ублюдок."
1362110,1364370,"Можно утешить себя мыслью, что кое в чем"
1364370,1365210,Озман не прав.
1365830,1368110,Я не вставал на колени перед Комтором Ордена
1368110,1371250,"Морозной Гряды пратьем, не вставал на колени, когда"
1371250,1374050,"меня догнали на болоте старейшины Ордена Морозной Гряды,"
1374550,1376850,не вставал на колени перед Темным и даже
1376850,1380490,"перед Изардом, духом города Тысячи Этажей, а уж"
1380490,1382670,сильнее его я пока не встречал идущих.
1383330,1386870,"Велитель стихии, древний дух, дух целого города."
1387710,1389850,"Правда, я не знаю, сколько у него звезд,"
1390230,1393350,"вернее, испытаний, но не сомневаюсь, что он достиг"
1393350,1394470,именно этого ранга.
1395090,1397650,"Так что еще вопрос, не являюсь ли я"
1397650,1400070,"со стороны столь же жестоким человеком, как и"
1400070,1400610,Рамвелор?
1401130,1404710,"Взять ту же бессердечную Сукулаю, которую я вместе"
1404710,1407490,с ее людьми наказал служением семье Пеатрия.
1407950,1410990,"Уверен, расскажи я эту историю целиком сотне человек,"
1411550,1414050,"половина не меньше скажут, что я наказал их"
1414050,1414530,ни за что.
1415190,1417810,Как сейчас сам говорю про наказание Ордена Небесного
1417810,1420510,"Меча, которое длится уже половину столетия."
1421290,1424550,Рамвелор мог и хотел наказать Орден Небесного Меча
1424550,1425270,за смерть сына.
1425730,1426990,Поэтому взял и наказал.
1426990,1430550,И многие фракции Империи с радостью бросились исполнять
1430550,1433230,"этот приказ, щедро добавляя в него от себя."
1434130,1435610,Все решает только сила.
1436250,1440030,"Сохрани Орден Небесного Меча сильнейших идущих, доступ к"
1440030,1442790,"своим землям, и все, возможно, повернулось бы по"
1442790,1443170,-другому.
1443970,1446110,Мы и пробуем сейчас повернуть все по-другому.
1446510,1448050,И для начала нужно стать сильней.
1448630,1450470,Всем вместе и каждому по отдельности.
1451070,1454630,"И сильнейшим должен стать глава Сломанного Клинка, тайный"
1454630,1456890,молодой магистр Ордена Небесного Меча.
1457490,1460490,Он должен для начала выковать хотя бы себя.
